artist_display_name,artist_begin_date,artist_end_date,artist_display_bio,artist_alpha_sort,artist_nationality,artist_ulan_url,artist_wikidata_url,artist_id
Pierre Philippe Thomire,1751      ,1843      ,"French, Paris 1751–1843 Paris","Thomire, Pierre Philippe",French,http://vocab.getty.edu/page/ulan/500008741,https://www.wikidata.org/wiki/Q3383483,PT011
Jacques-Pierre Marteau,1679      ,1779      ,"apprenticed 1740, master 1757, died 1779",Marteau Jacques-Pierre, ,http://vocab.getty.edu/page/ulan/500079414,,JM084
Pompeo Leoni,1533      ,1608      ,"Italian, active Spain, ca. 1533–1608",Leoni Pompeo,Italian,http://vocab.getty.edu/page/ulan/500037449,https://www.wikidata.org/wiki/Q1858775,PL018
Firm of Moricand & Degrange,          ,          ,recorded 1828–35,Moricand & Degrange, ,,,FD018
Lacroix,1775      ,1875      , ,Lacroix, ,,,L033
"Firm of Sandoz, Ami, et Fils",          ,          , ,"Sandoz, Ami, et Fils", ,,,FF020
Du Bois,1775      ,1875      ,Swiss,Du Bois,Swiss,,,DB022
Firm of Esquivillon Frères,1795      ,1805      ,recorded ca. 1800,Esquivillon Frères, ,,,FF022
"Firm of Alliez, Bachelard et Terond Fils",1824      ,1834      ,ca. 1829,"Alliez, Bachelard et Terond Fils", ,,,FF024
Pierre Morel,1775      ,1840      ,recorded ca. 1780–ca. 1835,Morel Pierre, ,,,PM020
Firm of Frères Wiss et Menu,1787      ,1810      ,recorded 1787–1810,Frères Wiss et Menu, ,,,FM032
Giuliano da Sangallo,1445      ,1516      ,"Italian, 1445–1516","Sangallo, Giuliano da",Italian,http://vocab.getty.edu/page/ulan/500023184,https://www.wikidata.org/wiki/Q312365,GS040
Franz von Stuck,1863      ,1928      ,"German, Tettenweis 1863–1928 Munich","Stuck, Franz von",German,http://vocab.getty.edu/page/ulan/500006652,https://www.wikidata.org/wiki/Q45006,FS026
Francis Williamson,1675      ,1775      , ,Williamson Francis, ,,,FW013
John Ladyman,1697      ,1712      ,active 1697–1712 or later,Ladyman John, ,,,JL059
Jacopo da Pesaro,1507      ,1555      ,"Italian, active Venice, 1507–ca. 1550","da Pesaro, Jacopo",Italian,http://vocab.getty.edu/page/ulan/500121087,,JP048
Johann Heinrich Balthasar Sang,1700      ,1800      ,"German, active Brunswick","Sang, Johann Heinrich Balthasar",German,,,JS106
G. E. Kunckel,1675      ,1775      , ,"Kunckel, G. E.", ,,,GK016
Master of the Koula Beaker,1650      ,1750      , ,Master of the Koula Beaker, ,http://vocab.getty.edu/page/ulan/500071199,,MB051
Carl von Scheidt,1791      ,1834      ,"German, 1791–after 1834","Scheidt, Carl von",German,,,CS038
Gottlob Samuel Mohn,1789      ,1825      ,"Austrian, Weissenfels 1789–1825 Laxenburg","Mohn, Gottlob Samuel",Austrian,http://vocab.getty.edu/page/ulan/500066055,https://www.wikidata.org/wiki/Q50217021,GM030
Ignaz Preissler,1676      ,1741      ,"German, Friedrichswald 1676–1741Kronsstadt","Preissler, Ignaz",German,http://vocab.getty.edu/page/ulan/500007513,https://www.wikidata.org/wiki/Q1657503,IP011
Anton Kothgasser,1769      ,1851      ,"Austrian, 1769–1851","Kothgasser, Anton",Austrian,http://vocab.getty.edu/page/ulan/500010628,https://www.wikidata.org/wiki/Q2857008,AK017
Harrachsche Hütte,          ,          , ,Harrachsche Hütte, ,,,HH027
Friedrich Egermann,1777      ,1864      ,"Czech, 1777–1864","Egermann, Friedrich",Czech,http://vocab.getty.edu/page/ulan/500082109,https://www.wikidata.org/wiki/Q85988,FE006
Matthäus Baur II,1653      ,1728      ,"ca. 1653–1728, master ca. 1681",Baur Matthäus II, ,,,MI017
Joseph-Antoine Romagnési,1782      ,1852      ,"French, Paris ca. 1782–1852 Paris","Romagnési, Joseph-Antoine",French,http://vocab.getty.edu/page/ulan/500084777,https://www.wikidata.org/wiki/Q21328750,JR055
Edgar Degas,1834      ,1917      ,"French, Paris 1834–1917 Paris","Degas, Edgar",French,http://vocab.getty.edu/page/ulan/500115194,https://www.wikidata.org/wiki/Q46373,ED022
Thomas Chippendale,1718      ,1779      ,"British, baptised Otley, West Yorkshire 1718–1779 London","Chippendale, Thomas",British,http://vocab.getty.edu/page/ulan/500015768,https://www.wikidata.org/wiki/Q314278,TC048
Aristide Maillol,1861      ,1944      ,"French, Banyuls-sur-Mer 1861–1944 Perpignan","Maillol, Aristide",French,http://vocab.getty.edu/page/ulan/500001596,https://www.wikidata.org/wiki/Q153920,AM036
Louis Simon Boizot,1743      ,1809      ,"French, Paris 1743–1809 Paris","Boizot, Louis Simon",French,http://vocab.getty.edu/page/ulan/500002158,https://www.wikidata.org/wiki/Q1608030,LB027
Edme-Pierre Balzac,1705      ,1786      ,"1705–ca. 1786, master 1739, recorded 1781",Balzac Edme-Pierre, ,http://vocab.getty.edu/page/ulan/500064428,https://www.wikidata.org/wiki/Q63869626,EB027
Workshop of Giuliano da Maiano (1432–1490) and Benedetto da Maiano (1442–1497),1432      ,1497      , ,Workshop of Giuliano da Maiano and Benedetto da Maiano, ,,,W(002
Robert Adam,1728      ,1792      ,"British, Kirkcaldy, Scotland 1728–1792 London","Adam, Robert","British, Scottish",http://vocab.getty.edu/page/ulan/500008907,https://www.wikidata.org/wiki/Q312635,RA006
John Wootton,1681      ,1764      ,"British, Snitterfield, Warwickshire 1681/82–1764 London","Wootton, John",British,http://vocab.getty.edu/page/ulan/500025593,https://www.wikidata.org/wiki/Q600088,JW066
V. Blanck,1725      ,1825      , ,Blanck V., ,,,VB008
Tullio Lombardo,1455      ,1532      ,"Italian, ca. 1455–1532","Lombardo, Tullio", ,http://vocab.getty.edu/page/ulan/500004395,https://www.wikidata.org/wiki/Q1350301,TL015
Jean Cornu,1650      ,1710      ,"French, Paris 1650–1710 Lisieux","Cornu, Jean",French,http://vocab.getty.edu/page/ulan/500122445,https://www.wikidata.org/wiki/Q3171430,JC117
Hubert Gerhard,1540      ,1621      ,"Netherlandish, 1540/50–1621, active Germany","Gerhard, Hubert",Netherlandish,http://vocab.getty.edu/page/ulan/500016667,https://www.wikidata.org/wiki/Q316824,HG019
Leonhard Kern,1588      ,1662      ,"German, Forchtenberg, Hohenlohe 1588–1662 Schwäbisch Hall","Kern, Leonhard",German,http://vocab.getty.edu/page/ulan/500010178,https://www.wikidata.org/wiki/Q896084,LK012
Adam Pijart,1579      ,1679      ,"born 1579, master 1610",Pijart Adam, ,(not assigned),https://www.wikidata.org/wiki/Q112960748,AP033
Diego de Atienza,1610      ,1710      ,"Spanish, born Luja (present-day Ecuador) 1610, active in Lima by 1645",Atienza Diego de,Spanish,,,DA006
Master I. D. C.,1550      ,1599      ,active second half of the 16th century,Master I. D. C., ,(not assigned),https://www.wikidata.org/wiki/Q97340288,MC073
Fontana family,1548      ,1585      ,"Italian, active ca. 1553–80",Fontana,Italian,http://vocab.getty.edu/page/ulan/500079386,,FF029
workshop of Guido Durantino,1516      ,1581      ,"Italian, Urbino, active 1516–ca. 1576","Durantino, Guido",Italian,,,WD017
Antonello Gagini,1478      ,1536      ,"Italian, Palermo 1478–1536 Palermo","Gagini, Antonello",Italian,http://vocab.getty.edu/page/ulan/500118605,https://www.wikidata.org/wiki/Q578295,AG033
James Neale,1739      ,1814      , ,"Neale, James",British,,,JN021
Edward Pearce,1630      ,1695      ,ca. 1630–1695,Pearce Edmund, ,http://vocab.getty.edu/page/ulan/500265759,,EP027
Samuel Meriton,1739      ,1839      ,"British, active from 1739","Meriton, Samuel",British,http://vocab.getty.edu/page/ulan/500524324,,SM041
Lewis Mettayer,1640      ,1740      ,"British, active 1700–died 1740",Mettayer Lewis,British,http://vocab.getty.edu/page/ulan/500110365,,LM024
Antonio Forcada y la Plaza,1790      ,1818      ,"Assayer, Mexico City,1790–1818","Forcada y la Plaza, Antonio", ,(not assigned),https://www.wikidata.org/wiki/Q112678547,AP034
Fulvio Signorini,1563      ,1609      ,1563–after 1609,Signorini Fulvio, ,http://vocab.getty.edu/page/ulan/500046204,https://www.wikidata.org/wiki/Q97572148,FS028
Jacques-Nicolas Roettiers,1736      ,1788      ,"1736–1788, master 1765, retired 1777",Roettiers Jacques-Nicolas, ,http://vocab.getty.edu/page/ulan/500031436,https://www.wikidata.org/wiki/Q6120343,JR058
Diego de Tiedra,1459      ,1559      ,"Spanish, died 1559",Tiedra Diego de,Spanish,http://vocab.getty.edu/page/ulan/500060290,https://www.wikidata.org/wiki/Q5806825,DT006
Jean-Baptiste Lemoyne the Younger,1704      ,1778      ,"French, Paris 1704–1778 Paris","Lemoyne, Jean-Baptiste, the Younger",French,http://vocab.getty.edu/page/ulan/500015004,https://www.wikidata.org/wiki/Q507800,JY011
Ferdinand Hundt,1704      ,1758      ,ca. 1704–1758,Hundt Ferdinand, ,(not assigned),https://www.wikidata.org/wiki/Q30227541,FH012
Robert Le Lorrain,1666      ,1743      ,"French, 1666–1743","Le Lorrain, Robert",French,http://vocab.getty.edu/page/ulan/500005853,https://www.wikidata.org/wiki/Q729722,RL016
William Cawdell,1560      ,1625      ,"British, 1560–1625","Cawdell, William",British,,,WC046
Augustin Courtauld,1685      ,1751      ,"British, 1685–1751",Courtauld Augustin,British,http://vocab.getty.edu/page/ulan/500094378,https://www.wikidata.org/wiki/Q18572297,AC067
Thomas Whipham,1737      ,1785      ,"British, active from 1737, died 1785","Whipham, Thomas",British,http://vocab.getty.edu/page/ulan/500337072,,TW021
Edme Bouchardon,1698      ,1762      ,"French, Chaumont 1698–1762 Paris","Bouchardon, Edme",French,http://vocab.getty.edu/page/ulan/500024658,https://www.wikidata.org/wiki/Q987687,EB028
François Bertinet,1600      ,1711      ,"born first half 17th century, active ca. 1653–86, died ca. 1706",Bertinet François, ,,,FB034
Jacques Gauvain,1501      ,1547      ,active ca. 1501–47,GAUVAIN JACQUES, ,,,JG055
René Dubois,1737      ,1799      ,"1737–1799, master 1755",DUBOIS RENÉ, ,http://vocab.getty.edu/page/ulan/500014088,https://www.wikidata.org/wiki/Q3426125,RD018
Astbury-Whieldon,          ,          , ,Astbury-Whieldon, ,,,A036
"Grand-ducal workshops, Florence",          ,          , ,Grand-ducal workshops, ,,,GF021
Alessandro Masnago,1520      ,1620      ,"Italian, active ca. 1560, died 1620",MASNAGO ALESSANDRO,Italian,,,AM037
Rosa Bonheur,1822      ,1899      ,"French, Bordeaux 1822–1899 Thomery","Bonheur, Rosa",French,http://vocab.getty.edu/page/ulan/500014964,https://www.wikidata.org/wiki/Q241732,RB031
Francesco di Giorgio Martini,1439      ,1501      ,"Italian, Siena 1439–1501 Siena",Francesco di Giorgio Martini,Italian,http://vocab.getty.edu/page/ulan/500115162,https://www.wikidata.org/wiki/Q434425,FM036
Louis Garnier,1638      ,1728      ,ca. 1638–1728,Garnier Louis, ,http://vocab.getty.edu/page/ulan/500006320,https://www.wikidata.org/wiki/Q19569546,LG016
Adolphe David,1828      ,1896      ,1828–1896,David Adolphe, ,(not assigned),https://www.wikidata.org/wiki/Q62008893,AD030
Paul-Victor Lebas,1852      ,1876      ,"French, active 1852–76",Lebas Paul-Victor,French,http://vocab.getty.edu/page/ulan/500034356,,PL021
Niccolò Amastini,1780      ,1851      ,born Rome 1780–1851,Amastini Niccolò, ,,,NA005
Maria Elisa Pistrucci,1824      ,1881      ,"British, 1824–1881, active London and Rome","Pistrucci, Maria Elisa",British,,,MP045
Benedetto Pistrucci,1783      ,1855      ,"Italian, 1783–1855, active England","Pistrucci, Benedetto",Italian,http://vocab.getty.edu/page/ulan/500064192,https://www.wikidata.org/wiki/Q327504,BP026
Battista di Domenico Lorenzi,1523      ,1594      ,"Italian, ca. 1527/28–1594","Lorenzi, Battista di Domenico",Italian,http://vocab.getty.edu/page/ulan/500001164,https://www.wikidata.org/wiki/Q1525885,BL012
Antoine Syjalon,1524      ,1590      ,"French, 1524–1590","Syjalon, Antoine", ,,,AS045
David Roentgen,1743      ,1807      ,"German, Herrnhaag 1743–1807 Wiesbaden, master 1780","Roentgen, David",German,http://vocab.getty.edu/page/ulan/500032302,https://www.wikidata.org/wiki/Q77730,DR007
Pere Jean-Antoine Ducerceau,1670      ,1730      ,"French, 1670–1730","Ducerceau, Jean-Antoine",French,,,PD020
Cristoforo Stati (Cristofano da Bracciano),1556      ,1619      ,"Italian, 1556–1619",Stati Cristoforo,Italian,http://vocab.getty.edu/page/ulan/500002498,https://www.wikidata.org/wiki/Q3697719,CB044
Sulpice Brizard,1735      ,1798      ,"ca. 1735–after 1798, master 1762",BRIZARD SULPICE, ,http://vocab.getty.edu/page/ulan/500065987,,SB033
Pedro de Mena,1628      ,1688      ,"Spanish, Granada 1628–1688 Málaga","Mena, Pedro de",Spanish,http://vocab.getty.edu/page/ulan/500118937,https://www.wikidata.org/wiki/Q727974,PM024
Orazio Pompei,1511      ,1596      ,"Italian, ca. 1516–1590/96","Pompei, Orazio",Italian,(not assigned),https://www.wikidata.org/wiki/Q47459274,OP006
Francesco Orlandini,1500      ,1600      , ,Orlandini Francesco, ,,,FO005
Bartholomäus Seuter,1678      ,1754      ,"German, 1678–1754, active Augsburg",Seuter Bartholomäus,German,http://vocab.getty.edu/page/ulan/500075514,https://www.wikidata.org/wiki/Q809378,BS023
G.L. Barberi,1800      ,1900      , ,Barberi G.L., ,,,GB034
Longton Hall,1744      ,1760      ,"British, Staffordshire, ca. 1749–1760",Longton Hall,British,http://vocab.getty.edu/page/ulan/500332674,https://www.wikidata.org/wiki/Q98462905,LH017
Villeroy,1734      ,1748      ,"French, 1734/37–1748",Villeroy,French,,,V016
Adam Friedrich von Löwenfinck,1714      ,1754      ,"German, 1714–1754",Löwenfinck Adam Friedrich von,German,http://vocab.getty.edu/page/ulan/500068762,https://www.wikidata.org/wiki/Q349417,AL031
Savonnerie Manufactory,1626      ,2050      ,"Manufactory, established 1626; Manufacture Royale, established 1663",Savonnerie Manufactory, ,http://vocab.getty.edu/page/ulan/500034087,https://www.wikidata.org/wiki/Q3287048,SM042
Barthélemy Cabirol,1732      ,1786      ,1732–1786,Cabirol Barthélemy, ,http://vocab.getty.edu/page/ulan/500035449,https://www.wikidata.org/wiki/Q17621792,BC037
John Astbury,1688      ,1743      ,active 1688–1743,"Astbury, John", ,(not assigned),https://www.wikidata.org/wiki/Q6219642,JA030
Pierre-Adrien Paris,1747      ,1819      ,"French, 1747–1819","Paris, Pierre-Adrien",French,http://vocab.getty.edu/page/ulan/500008465,https://www.wikidata.org/wiki/Q3382754,PP026
Louis François Roubiliac,1695      ,1762      ,"British (born France), Lyons 1695/1702–1762 London","Roubiliac, Louis François","British, born France",http://vocab.getty.edu/page/ulan/500017615,https://www.wikidata.org/wiki/Q1284603,LR023
John Michael Rysbrack,1694      ,1770      ,"Flemish, Antwerp 1694–1770 London","Rysbrack, John Michael",Flemish,http://vocab.getty.edu/page/ulan/500025048,https://www.wikidata.org/wiki/Q6248662,JR060
Etienne-Maurice Falconet,1716      ,1791      ,"French, Paris 1716–1791 Paris","Falconet, Etienne-Maurice",French,http://vocab.getty.edu/page/ulan/500115285,https://www.wikidata.org/wiki/Q289246,EF011
Jean III Pénicaud,1470      ,1570      ,"French, died 1570",Pénicaud Jean III,French,http://vocab.getty.edu/page/ulan/500121428,https://www.wikidata.org/wiki/Q18508364,JP052
"Roger Vandercruse, called Lacroix",1727      ,1799      ,"French, 1727–1799",Vandercruse Roger called Lacroix,French,http://vocab.getty.edu/page/ulan/500007075,https://www.wikidata.org/wiki/Q3439532,RL017
Diego de Pesquera,1535      ,1582      ,"Spanish, Castile (?), ca. 1540–after 1581, Mexico (?), active 1563–80",Pesquera Diego de,Spanish,http://vocab.getty.edu/page/ulan/500040013,https://www.wikidata.org/wiki/Q5274876,DP018
John Barbot,1751      ,1765      ,"British, recorded 1751–65",Barbot John,British,http://vocab.getty.edu/page/ulan/500046008,,JB087
John Belchier,1653      ,1753      ,"active 1717, died 1753",Belchier John, ,http://vocab.getty.edu/page/ulan/500066310,https://www.wikidata.org/wiki/Q1968367,JB090
James Cox,1723      ,1800      ,"British, ca. 1723–1800","Cox, James",British,http://vocab.getty.edu/page/ulan/500046254,https://www.wikidata.org/wiki/Q525447,JC124
World's End Pottery,          ,          , ,World's End Pottery, ,,,WP024
Jean Mauger,1648      ,1722      ,"French, 1648–1722","Mauger, Jean",French,http://vocab.getty.edu/page/ulan/500123474,https://www.wikidata.org/wiki/Q3173468,JM097
Antoine Plot,1701      ,1772      ,"French, 1701–1772, master 1729","Plot, Antoine",French,(not assigned),https://www.wikidata.org/wiki/Q60312661,AP035
I.V.,          ,          , ,I.V., ,,,I018
Jean-Baptiste-François Chéret,1728      ,1791      ,"1728, master 1759, recorded up to 1791",Chéret Jean-Baptiste-François, ,http://vocab.getty.edu/page/ulan/500024291,,JC127
Gabriel Tillet,1677      ,1757      ,"1677–1757, master 1703, retired 1756",Tillet Gabriel, ,,,GT013
Sébastien Igonet,1695      ,1796      ,"master 1725, recorded 1766",IGONET SÉBASTIEN, ,,,SI021
David André,1643      ,1743      ,"master 1703, died 1743",André David, ,,,DA007
Denys Frankson,1735      ,1821      ,"French, master through service at Hôpital de la Trinité 1765, master Paris guild 1773, recorded 1791","Frankson, Denys",French,,,DF012
Joseph-Pierre-Jacques Duguay,1724      ,1824      ,"born 1724, master 1756, recorded 1793",Duguay Joseph-Pierre-Jacques, ,http://vocab.getty.edu/page/ulan/500069979,,JD070
Jean-Baptiste Boullemer,1682      ,1739      ,"1682–1739, master 1705",Boullemer Jean-Baptiste, ,,,JB096
Alexis Micalef,1726      ,1818      ,"master 1756, transferred to Lyons 1773, active Lyons 1788",Micalef Alexis, ,,,AM040
Jean Fauche,1706      ,1762      ,"ca. 1706–1762, master 1733",FAUCHE JEAN, ,,,JF035
Robert Joseph Auguste,1723      ,1805      ,"French, 1723–1805, master 1757","Auguste, Robert Joseph",French,http://vocab.getty.edu/page/ulan/500004772,https://www.wikidata.org/wiki/Q3435548,RA007
Richard Jarry,1678      ,1759      ,"1678–1759, master 1708, retired 1756",JARRY RICHARD, ,,,RJ013
Lille Mint,          ,          , ,Lille Mint, ,,,LM030
Louis Nicolle,1636      ,1724      ,"master 1666, registered new mark 1680, active 1694",NICOLLE LOUIS, ,,,LN010
Jacques Demé,1656      ,1656      ,master in 1656,Demé Jacques, ,,,JD071
R.F.,          ,          , ,R.F., ,,,R056
Nicolas Mahon,1633      ,1733      ,"master 1719, died 1733",MAHON NICOLAS, ,,,NM015
Robert Mothé,1704      ,1704      ,master 1704,Mothé Robert, ,,,RM019
Aymé (Edme) Joubert,1641      ,1747      ,"master 1703, died between 1741 and 1747",Joubert Aymé (Edme), ,,,AJ007
M(?).B.,          ,          , ,M(?).B., ,,,M096
